Country,Classification
Andorra,-
Australia,-
Austria,-
Barbados,-
Belgium,-
Brunei Darussalam,-
Canada,-
Chile,-
Comoros,-
Cyprus,-
Czech Republic,-
Denmark,-
Dominica,-
Estonia,-
Finland,-
France,-
Germany,-
Greece,-
Grenada,-
Hungary,-
Iceland,-
Ireland,-
Israel,-
Italy,-
Japan,-
Kiribati,-
Korea,-
Latvia,-
Liechtenstein,-
Lithuania,-
Luxembourg,-
Malta,-
Marshall Islands,-
Micronesia,-
Monaco,-
Nauru,-
Netherlands,-
New Zealand,-
Norway,-
Palau,-
Poland,-
Portugal,-
Saint Kitts and Nevis,-
Saint Lucia,-
Saint Vincent and the Grenadines,-
Samoa,-
San Marino,-
Sao Tome and Principe,-
Sint Maarten,-
Slovak Republic,-
Slovenia,-
Solomon Islands,-
Spain,-
Sweden,-
Switzerland,-
Tonga,-
Tuvalu,-
United Kingdom,-
United States,-
Vanuatu,-
West Bank and Gaza,7
Kosovo,7
South Korea,7
Ukraine,7
Belarus,7
Pakistan,7
Bosnia and Herzegovina,7
Lebanon,7
Iraq,7
Ethiopia,7
Libya,7
Moldova,7
Venezuela,7
Cuba,7
Liberia,7
Sudan,7
Montenegro,7
Mali,7
Yemen,7
Congo,7
Democratic Republic of the Congo,7
Guinea,7
Mauritania,7
Mozambique,7
Burkina Faso,7
Syrian Arab Republic,7
Kyrgyzstan,7
Afghanistan,7
Tajikistan,7
Madagascar,7
Lao People’s Democratic Republic,7
Zimbabwe,7
Haiti,7
Djibouti,7
Niger,7
Sierra Leone,7
Chad,7
Malawi,7
Equatorial Guinea,7
Antigua and Barbuda,7
Burundi,7
Eritrea,7
Somalia,7
Gambia,7
Central African Republic,7
Belize,7
South Sudan,7
Guinea-Bissau,7
Cabo Verde,6
Myanmar,6
Egypt,6
Iran,6
Argentina,6
Kazakhstan,6
Nigeria,6
Uzbekistan,6
Ecuador,6
Turkmenistan,6
Georgia,6
Kenya,6
Sri Lanka,6
Albania,6
Ghana,6
Angola,6
Côte d’Ivoire,6
Armenia,6
Cambodia,6
Tanzania,6
Cameroon,6
Mongolia,6
Uganda,6
Jamaica,6
Nicaragua,6
Zambia,6
Benin,6
Togo,6
Rwanda,6
Gabon,6
Maldives,6
Nepal,6
Papua New Guinea,6
Suriname,6
Seychelles,6
Fiji,6
Guyana,6
Swaziland,6
Bhutan,6
Lesotho,6
Timor-Leste,6
Brazil,5
Croatia,5
Vietnam,5
Serbia,5
Tunisia,5
Former Yugoslav Republic of Macedonia,5
Bangladesh,5
Jordan,5
Azerbaijan,5
Paraguay,5
Bolivia,5
El Salvador,5
Honduras,5
Senegal,5
Curaçao,5
Turkey,4
Russia,4
South Africa,4
Algeria,4
Colombia,4
Bahrain,4
Guatemala,4
Dominican Republic,4
Namibia,4
Aruba,4
Romania,3
Mexico,3
India,3
Thailand,3
Bulgaria,3
Indonesia,3
Qatar,3
Philippines,3
Morocco,3
Peru,3
Oman,3
Panama,3
Uruguay,3
Costa Rica,3
Trinidad and Tobago,3
Mauritius,3
Bahamas,3
China,2
UAE,2
Saudi Arabia,2
Hong Kong (China),2
Malaysia,2
Kuwait,2
Macau (China),2
Botswana,2
Chinese Taipei,1
Singapore,0